G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-27386.0295,108.4003,306.958,2.51648,0,1.2683,-0.49662,0.40835,-1.94254,241.3536,504.5178833,-4.1
-21701.1004,1192.0051,162.73,4.52321,-1.77497,1.26482,-0.43309,0.50939,-1.9613,173.0848,310.5214844,-2.28
-27724.24,-526.5967,308.963,5.96856,-0.77653,0.42313,-0.42737,0.3702,-1.54739,286.7171,483.7244263,-3.95
-19847.028,72.8581,160.798,0.0305082,0,0.00608,-0.12934,0.04961,0,100.2034,307.255127,-4.23
-22909.238,13.9833,225.266,0.00662821,0,-0.26705,-0.13063,0.06129,0,140.268,428.4981995,-5.51
-27400.5354,309.4812,289.732,7.57849,-2.04215,0.19798,-0.77509,1.9108,-1.17459,256.319,494.6982117,-3.05
-22661.5791,77.557,174.622,7.72468,-1.53525,0.35871,-0.44578,0.52816,-1.00709,167.1208,326.756073,-1.71997
-25817.6954,-0.488,284.253,8.45737,-0.67305,0.57674,-0.43624,0.43353,-1.07431,231.2938,459.4943542,-4.001
-31796.5781,70.7894,432.915,1.65558,-0.73668,0.21825,-0.37791,0.31476,-1.32262,355.4513,645.319397,-4.347
-27135.4562,107.1125,294.375,11.6413,-2.04428,0.44937,-0.79218,1.91795,-1.69378,289.7361,468.5610657,-3.29
-28056.4341,-59.924,327.756,3.29109,0,-0.21757,-0.17987,0.20188,-0.59582,320.045,497.0978699,-7.199998
-27196.4184,-265.2876,275.477,7.31788,-1.67284,1.33018,-0.54591,0.73221,-1.82208,257.2589,452.1102905,-2
-24567.4022,-157.2692,239.811,6.06671,-1.89073,-0.78833,-0.77352,1.94471,-0.01679,249.3172,399.8743896,-3.494
-34057.2547,-380.2083,492.929,7.38697,-2.12548,0.95057,-0.43345,0.37422,-2.39142,434.5037,654.8651123,-4.9
-26885.5799,189.1935,287.073,10.115,-2.2836,-0.21647,-0.79526,1.71212,-0.88082,267.299,464.4553833,-2.43
-24092.8031,89.9817,205.369,7.78502,-1.0761,0.17791,-0.3958,0.52747,-0.9243,182.1786,378.9792175,-3.211
